,Ln,Dn,Ds,DForm,OForm,Box,WR,RB,TE,Play,Player,Type,Yards,description,YTEZ,YTG,PassDown,Block,RollingAvg5,RollingAvg10,RollingAvg20,RollingAvg40,TypeNum,YardsGained,NetYards,Catch,Success,NetSuccess,3yds,PenaltyYards,FirstDown,BigPlay,BigPlay10+,BigPlay20+,BigPlay30+,BigPlay40+,Game,PlayNum,Year
160,m29,2,4,base 3-4,shotgun trips,7,3.0,1.0,1.0,tunnel screen,bell,pass,3,"
tunnel against a five man rush is solid as black(+0.5) and ruiz(+0.5) get slid blocks but bell(-2) goes big and then goes home. he’s obviously got the first down and 8 or so yards, plus a clock stoppage but inexplicably tries to spin past a guy and is lucky he didn’t get called for a one yard gain after mostly giving back all the yardage. (ca, 3, screen)
",71,4,0,,0.4,0.4,0.5,0.48148148148148145,1,3.0,3.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,2019-offense-vs-army,27,2019
161,m32,3,1,404 nickel,shotgun 3-wide,6.5,3.0,1.0,1.0,inside zone,charbonnet,run,0,"
ugh, the most infuriating thing is cbs ten yards off on third and one and michigan can’t run a damn smoke. borges-esque. instead michigan runs into the teeth of a run blitz on a no-read iz. onwenu(-1) doesn’t recognize the run blitz and mayfield(-1) can’t do anything with it, and that guy goes direct to the backfield to crunch charbonnet. rps -1. michigan had a shot at defending this but just guh.
",68,1,0,,0.6,0.4,0.5,0.5,0,0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,28,2019
162,m32,4,1,4-3 under,shotgun 4-wide tight,8,3.0,1.0,1.0,inside zone,charbonnet,run,2 (pen +5),"
tempo, m catches army with a 12th guy on the field, rps +1. extended doubles, no lb level cared about, ruiz(+0.5) and onewnu(+0.5) get the requisite push.
",68,1,0,,0.6,0.4,0.5,0.4827586206896552,0,,7.0,,,1.0,0,5,1,0,0,0,0,0,2019-offense-vs-army,29,2019
163,m37,1,10,404 nickel,shotgun 3-wide,6,3.0,1.0,1.0,false start,ruiz,penalty,-5,"
so that whole tunnel fiasco means m has moved 14 yards in 1:20 and has blown half their time. woof. also now ruiz(-1) falls over.
",63,10,0,,0.4,0.3,0.45,0.4666666666666667,0,-5.0,-5.0,,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,30,2019
164,m32,1,15,404 nickel,shotgun 3-wide,6,3.0,1.0,1.0,te cross,mckeon,pass,13,"
olb hard off the edge; hayes can’t really get him but does push him around at ten yards. rest of the protection is good so patterson can step up and fire it to a pretty well covered mckeon. two yards short of the first down, so clock runs. penalty hurts. (ca+, 3, protection 2/2)
",68,15,0,,0.4,0.3,0.45,0.45161290322580644,1,13.0,13.0,1.0,1.0,1.0,1,0,0,0,1,0,0,0,2019-offense-vs-army,31,2019
165,m45,2,2,404 nickel,shotgun 3-wide,6.5,3.0,1.0,1.0,sack,patterson,pass,0,"
patterson exits the pocket for no reason. he’s going to have two quick routes wide open if he has patience. pretty pretty bad. (tax, n/a, protection 2/2)
",55,2,0,,0.4,0.4,0.45,0.46875,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,32,2019
166,m45,3,2,nickel even,shotgun 3-wide,6,3.0,1.0,1.0,inside zone,charbonnet,run,5,"
army seems to think playside is the other side of charbonnet; lb level moves right as play goes left. wide open for m as onwenu(+1) hammers a linebacker; mayfield(+1) gets a big kick; ruiz(+0.5) seals a guy slanting across him. seems like bust by army. charbonnet(-1) tries to break to the sideline and gives up four or five yards.
",55,2,0,,0.4,0.5,0.5,0.48484848484848486,0,5.0,5.0,,1.0,1.0,1,0,0,0,0,0,0,0,2019-offense-vs-army,33,2019
167,50,1,10,nickel even,shotgun 3-wide,7,3.0,1.0,1.0,false start,ruiz,penalty,-5,"
ruiz(-1) doesn’t snap it when he’s supposed to snap it.
",50,10,0,,0.4,0.5,0.45,0.47058823529411764,0,-5.0,-5.0,,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,34,2019
168,m45,1,15,404 nickel,shotgun 3-wide,6,3.0,1.0,1.0,improv,mckeon,pass,inc,"
five man blitz is chaotic but michigan picks it up. hayes puts his guy on the ground; patterson bugs out. he bugs out into trouble and turfs a ball in the general area of mckeon. (ta, 0, protection 2/2)
",55,15,0,,0.4,0.4,0.4,0.45714285714285713,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,35,2019
169,m45,2,15,nickel even,shotgun 3-wide,6,3.0,1.0,1.0,te seam,mckeon,pass,22,"
four verts, big gap between lb level and safety, easy read and strike from patterson. could be better as the ball does take mckeon off his feet, but it wasn’t a bad throw, per se. (ca, 3, protection 2/2)
",55,15,1,,0.6,0.5,0.45,0.4722222222222222,1,22.0,22.0,1.0,1.0,1.0,1,0,0,1,1,1,0,0,2019-offense-vs-army,36,2019
